mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0014502525329589844,0.0001855708706901182,0.0006705760955810547,5.137831317634196e-05,0.01,0.2,"{'alpha': 0.01, 'l1_ratio': 0.2}",-0.48688800127775234,-0.5052043898376264,-0.430966377801845,-0.46954530094978325,-0.33865234543085704,-0.44625128305957285,0.05912796739845492,1
0.0010269641876220702,0.0001637675404871928,0.0006551265716552735,0.00016248406509271782,0.01,0.5,"{'alpha': 0.01, 'l1_ratio': 0.5}",-0.49027868827030635,-0.5052118114322309,-0.4321925716013852,-0.4677988834893874,-0.33856727929306524,-0.4468098468172751,0.0594491168438166,2
0.0008823871612548828,1.7473333150408712e-05,0.0005353927612304687,5.510719380643336e-06,0.01,0.8,"{'alpha': 0.01, 'l1_ratio': 0.8}",-0.4936404954922463,-0.5052255695305081,-0.43250187100690096,-0.467012055779821,-0.33951954970689374,-0.447579908303274,0.05954258411382117,3
0.001215362548828125,0.00038787215333399593,0.0006006717681884766,8.640318253660238e-05,0.1,0.2,"{'alpha': 0.1, 'l1_ratio': 0.2}",-0.5291824042338279,-0.5284905343824123,-0.4620438762305196,-0.5055364170503149,-0.3862301749670223,-0.4822966813728195,0.05387240137134794,4
0.001031208038330078,0.0001154711563906173,0.0006227493286132812,9.181350584464694e-05,0.1,0.5,"{'alpha': 0.1, 'l1_ratio': 0.5}",-0.5460661536225134,-0.5413056306700506,-0.47057066435631056,-0.5193430976501282,-0.4037861686528745,-0.4962143429903755,0.05339275644743483,5
0.0009207725524902344,0.00012635653862509791,0.0005403995513916015,3.478219023223425e-05,0.1,0.8,"{'alpha': 0.1, 'l1_ratio': 0.8}",-0.5539675244648217,-0.5452079360732853,-0.4701041997734508,-0.522778249354081,-0.4115906780527456,-0.5007297175436769,0.053258622709182676,6
0.0008383750915527344,2.2700954615281442e-05,0.0005060672760009765,1.0547267155398866e-05,0.5,0.2,"{'alpha': 0.5, 'l1_ratio': 0.2}",-0.5722997070879241,-0.5651976437707431,-0.48983275996835823,-0.5464758004208526,-0.4492060192570003,-0.5246023861009756,0.04752892732492309,7
0.001024770736694336,0.00011701504194863619,0.0005552768707275391,3.2813187938599944e-05,0.5,0.5,"{'alpha': 0.5, 'l1_ratio': 0.5}",-0.6043342446853717,-0.6069298143575552,-0.5384308351850132,-0.5869507337139993,-0.5128273659730213,-0.5698945987829921,0.03767026843986459,8
0.0008126735687255859,1.9564623371321604e-05,0.0005094528198242188,6.003983886118451e-06,0.5,0.8,"{'alpha': 0.5, 'l1_ratio': 0.8}",-0.6610157896692767,-0.6700816174688767,-0.6076125998191245,-0.6461365979065327,-0.580941715263429,-0.6331576640254479,0.03372524821967183,10
0.0008320331573486329,3.402740164053947e-05,0.0005290031433105469,4.524840431267322e-05,1.0,0.2,"{'alpha': 1.0, 'l1_ratio': 0.2}",-0.6057076312586858,-0.6080119699867299,-0.5380043418138013,-0.5886505478163048,-0.5109804324444739,-0.5702709846639992,0.03892159313284943,9
0.0007892131805419921,1.2136793724008967e-05,0.0005032062530517578,1.1146776156481684e-05,1.0,0.5,"{'alpha': 1.0, 'l1_ratio': 0.5}",-0.66394258543741,-0.6725418565090704,-0.6105310477500068,-0.6466591480729217,-0.5831626350918464,-0.6353674545722511,0.03366947248252014,11
0.0009218215942382813,0.00021125369310512435,0.000554656982421875,8.94578280423553e-05,1.0,0.8,"{'alpha': 1.0, 'l1_ratio': 0.8}",-0.6647952872208883,-0.6744731791221193,-0.6116515618818056,-0.6454360571421476,-0.5838793010303669,-0.6360470772794655,0.03378696751948436,12
